Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2017-10-01,55503,139011,246193,3511,235
2017-10-02,65509,141748,246402,1408,242
2017-10-03,69105,135800,246566,1258,194
2017-10-04,71453,150324,246742,1377,188
2017-10-05,70173,150437,246893,1365,251
2017-10-06,70249,148395,247025,2104,383
2017-10-07,63630,153928,247206,4996,356
2017-10-08,41039,100790,247336,2233,192
2017-10-09,38390,78912,247453,594,84
2017-10-10,74117,155978,247615,2016,312
2017-10-11,63587,126748,247767,1146,161
2017-10-12,61244,123433,247896,1070,169
2017-10-13,67016,136608,248038,1768,308
2017-10-14,58771,142476,248167,3680,347
2017-10-15,56529,137364,248382,3381,276
2017-10-16,61729,125800,248552,997,192
2017-10-17,64480,122345,248712,1030,170
2017-10-18,70233,147842,248878,1202,249
2017-10-19,72311,143664,249016,1491,274
2017-10-20,72174,157255,249162,2246,351
2017-10-21,65872,169402,249378,5093,276
2017-10-22,62148,153444,249596,4596,200
2017-10-23,69273,143899,249825,1659,279
2017-10-24,48077,95599,249930,466,82
2017-10-25,71284,142007,250090,1133,246
2017-10-26,64002,123419,250187,973,191
2017-10-27,69265,139481,250319,1991,352
2017-10-28,61345,143571,250499,4306,317
2017-10-29,9537,20810,250556,213,8
2017-10-30,49246,95502,250681,771,121
2017-10-31,60242,115329,250892,1076,166
2017-11-01,60772,111304,250975,717,125
2017-11-02,70810,144455,251060,1485,291
2017-11-03,71817,147055,251163,2275,335
2017-11-04,53433,120119,251269,3086,243
2017-11-05,34943,76281,251349,1263,80
2017-11-06,57606,116318,251433,1052,133
2017-11-07,36361,69588,251487,643,77
2017-11-08,54211,107852,251537,597,95
2017-11-09,58416,113119,251591,837,171
2017-11-10,38432,74794,251614,425,82
2017-11-11,28142,55350,251657,832,64
2017-11-12,32471,73187,251699,1191,62
2017-11-13,38752,72112,251751,314,47
2017-11-14,52278,95328,251802,493,59
2017-11-15,54230,104590,251842,524,70
2017-11-16,49737,93532,251884,521,74
2017-11-17,48989,93476,251928,712,74
2017-11-18,27745,58136,251965,872,53
2017-11-19,31597,66078,252008,1020,64
2017-11-20,45120,85295,252041,501,49
2017-11-21,52448,95288,252075,960,69
2017-11-22,32297,69530,252103,458,64
2017-11-23,13705,32527,252115,806,103
2017-11-24,23723,64012,252151,1129,95
2017-11-25,30510,73542,252184,1995,85
2017-11-26,27180,60652,252227,904,63
2017-11-27,46732,99410,252277,553,46
2017-11-28,51166,97329,252316,455,58
2017-11-29,55290,107040,252365,638,71
2017-11-30,51699,97110,252414,509,83
2017-12-01,50708,99868,252473,695,123
2017-12-02,38922,83660,252514,1513,100
2017-12-03,33728,77915,252561,1037,66
2017-12-04,49630,92142,252618,649,63
2017-12-05,41792,85008,252686,381,57
2017-12-06,46335,87328,252724,368,55
2017-12-07,45367,94653,252761,427,65
2017-12-08,41330,81217,252791,443,58
2017-12-09,10804,20955,252811,112,15
2017-12-10,19815,43621,252830,287,26
2017-12-11,41838,81071,252869,456,38
2017-12-12,42620,88499,252915,262,42
2017-12-13,32623,60051,252942,155,20
2017-12-14,27494,49648,252960,134,10
2017-12-15,22944,41598,252980,130,9
2017-12-16,19060,38766,252992,240,24
2017-12-17,22403,49790,253011,343,27
2017-12-18,40168,79914,253054,409,34
2017-12-19,49503,97301,253087,541,42
2017-12-20,41461,78833,253142,422,40
2017-12-21,37592,70297,253180,386,47
2017-12-22,34338,62387,253212,506,23
2017-12-23,9608,24205,253228,112,10
2017-12-24,13215,37985,253250,492,39
2017-12-25,6479,26767,253293,439,27
2017-12-26,14113,32919,253324,220,29
2017-12-27,16365,31793,253346,234,33
2017-12-28,13419,34438,253365,121,17
2017-12-29,13759,29284,253395,177,17
2017-12-30,5956,13910,253407,53,10
2017-12-31,6569,18326,253443,94,2
2018-10-01,71387,120257,290631,2618,307
2018-10-02,73113,122234,290788,2666,195
2018-10-03,76769,129720,290947,3141,199
2018-10-04,70698,116337,291073,2838,222
2018-10-05,74744,129597,291166,3979,254
2018-10-06,57599,110421,291298,5658,310
2018-10-07,60753,127033,291425,6936,277
2018-10-08,58256,95097,291549,2865,121
2018-10-09,74251,123973,291672,2846,207
2018-10-10,77317,132255,291765,3115,202
2018-10-11,46862,70173,291862,1323,59
2018-10-12,67686,113055,291962,3453,255
2018-10-13,54747,100652,292029,2430,125
2018-10-14,54297,103697,292158,4805,204
2018-10-15,59181,92219,292262,1958,95
2018-10-16,66661,104171,292370,2200,158
2018-10-17,67868,107762,292469,2341,134
2018-10-18,61668,94356,292519,1969,143
2018-10-19,64735,105730,292604,3012,192
2018-10-20,56281,109142,292711,5644,309
2018-10-21,39192,64764,292811,2488,100
2018-10-22,57919,88293,292899,1721,133
2018-10-23,68086,110293,292992,2356,181
2018-10-24,64203,98615,293077,1942,97
2018-10-25,61637,95827,293309,2003,146
2018-10-26,59861,92569,293508,2292,131
2018-10-27,13124,17949,293542,333,11
2018-10-28,42502,74540,293611,3134,154
2018-10-29,60028,92882,293722,1853,156
2018-10-30,65545,102834,293819,1957,141
2018-10-31,68447,114039,294007,2544,225
2018-11-01,74260,128502,294111,3288,245
2018-11-02,63746,105906,294186,2817,237
2018-11-03,49127,89639,294256,4200,199
2018-11-04,50713,98021,294329,5107,99
2018-11-05,33345,47328,294396,776,31
2018-11-06,40271,56313,294442,1186,29
2018-11-07,67925,112354,294527,2590,189
2018-11-08,64441,103621,294595,2191,146
2018-11-09,36952,54282,294647,1064,63
2018-11-10,37809,63740,294689,2649,132
2018-11-11,36612,64197,294744,2763,78
2018-11-12,51341,79338,294792,1707,79
2018-11-13,36957,52453,294838,751,27
2018-11-14,49621,70932,294882,935,30
2018-11-15,24948,35594,294900,407,24
2018-11-16,34447,49576,294915,761,48
2018-11-17,37974,61206,294951,2257,56
2018-11-18,34390,55093,294988,1916,45
2018-11-19,54540,83935,295037,1522,84
2018-11-20,51910,75746,295070,1259,37
2018-11-21,40417,58441,295112,1050,39
2018-11-22,8798,12626,295200,369,20
2018-11-23,16107,23143,295439,597,26
2018-11-24,20087,32011,295530,1137,41
2018-11-25,34519,60831,295688,2521,36
2018-11-26,29189,42333,296251,499,18
2018-11-27,49979,74556,296351,802,31
2018-11-28,48433,69352,296405,777,29
2018-11-29,51468,76715,296452,1054,51
2018-11-30,46001,67098,296497,1065,47
2018-12-01,37989,62304,296553,2256,37
2018-12-02,18418,26501,296584,554,11
2018-12-03,53974,85524,296664,1308,62
2018-12-04,49058,71843,296708,867,27
2018-12-05,46779,67536,296753,814,38
2018-12-06,46543,66885,296798,910,40
2018-12-07,43841,63353,296843,948,52
2018-12-08,29909,44552,296867,1271,46
2018-12-09,27547,40886,296897,1064,23
2018-12-10,43358,62699,296938,762,25
2018-12-11,47335,68321,296974,823,20
2018-12-12,47717,68600,297005,748,28
2018-12-13,40736,57295,297042,593,14
2018-12-14,44775,66633,297078,1137,44
2018-12-15,36423,57244,297119,1902,45
2018-12-16,9835,13599,297131,203,4
2018-12-17,45382,66449,297173,909,32
2018-12-18,41703,58360,297205,656,22
2018-12-19,44096,63165,297238,877,22
2018-12-20,34026,48713,297269,751,20
2018-12-21,23996,34450,297290,481,24
2018-12-22,24870,36653,297327,1088,25
2018-12-23,22230,35921,297355,1298,37
2018-12-24,18990,27246,297387,681,18
2018-12-25,11177,21483,297426,1080,38
2018-12-26,25358,39176,297487,1118,49
2018-12-27,31169,48943,297527,1510,51
2018-12-28,12039,17576,297555,334,25
2018-12-29,29037,54116,297622,2677,104
2018-12-30,22536,37741,297682,1562,51
2018-12-31,18936,29794,297748,962,31
