Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2017-04-01,23849,67299,210739,767,43
2017-04-02,39779,130087,210915,3639,58
2017-04-03,43484,104217,211075,970,68
2017-04-04,29990,63091,211171,183,23
2017-04-05,47635,108281,211310,1192,59
2017-04-06,18020,44411,211362,67,12
2017-04-07,35779,81358,211440,456,43
2017-04-08,35936,108886,211589,2719,83
2017-04-09,43895,137240,211806,4390,114
2017-04-10,50422,124356,212050,2164,139
2017-04-11,57309,150222,212298,2699,135
2017-04-12,51188,113959,212484,1493,108
2017-04-13,52915,131228,212648,2388,129
2017-04-14,52230,149382,212812,3451,273
2017-04-15,42531,134526,212950,3981,235
2017-04-16,48137,157912,213172,6143,361
2017-04-17,53247,127619,213385,2019,234
2017-04-18,53809,126129,213580,1624,194
2017-04-19,45788,97587,213703,738,55
2017-04-20,44260,108427,213819,1065,172
2017-04-21,39868,92348,213913,1194,129
2017-04-22,34596,101444,214028,5173,102
2017-04-23,49106,142563,214278,4541,420
2017-04-24,48692,103241,214462,1143,123
2017-04-25,20332,47829,214552,201,36
2017-04-26,37727,81859,214654,595,109
2017-04-27,52035,122394,214793,1412,266
2017-04-28,62199,163665,214965,2963,458
2017-04-29,57701,180290,215219,5699,562
2017-04-30,42928,125305,215455,2921,340
2017-05-01,56218,136675,215724,1813,311
2017-05-02,61205,142585,216017,1827,309
2017-05-03,59251,141936,216239,1537,247
2017-05-04,57428,144583,216436,1626,239
2017-05-05,24009,58278,216535,355,52
2017-05-06,46616,127879,216768,3349,363
2017-05-07,34293,90625,216928,1921,196
2017-05-08,51553,114260,217147,1230,253
2017-05-09,56461,118257,217341,1179,199
2017-05-10,58452,136080,217512,1362,225
2017-05-11,57208,135699,217673,1313,205
2017-05-12,56671,132477,217840,1784,189
2017-05-13,5704,28193,217905,117,0
2017-05-14,38729,114819,218120,2664,222
2017-05-15,54715,129870,218356,1279,185
2017-05-16,64504,157411,218690,1850,283
2017-05-17,65791,153500,219023,1864,241
2017-05-18,63753,149837,219304,1929,270
2017-05-19,62143,145832,219564,2310,275
2017-05-20,47858,135405,219776,3486,251
2017-05-21,54873,160019,220097,4903,287
2017-05-22,24627,61049,220269,218,22
2017-05-23,60024,139680,220513,1579,224
2017-05-24,60621,135482,220735,1558,153
2017-05-25,17494,50743,220840,143,27
2017-05-26,53763,133402,221049,2224,306
2017-05-27,46533,145924,221271,4590,511
2017-05-28,46724,151063,221515,5229,374
2017-05-29,26321,75825,221745,1149,77
2017-05-30,50192,114629,222057,962,204
2017-05-31,59494,142097,222764,1596,197
2017-06-01,67404,163063,222977,1957,289
2017-06-02,66905,157299,223162,2315,357
2017-06-03,56263,155712,223356,4627,356
2017-06-04,40138,100571,223520,2270,103
2017-06-05,55882,123795,223719,1286,204
2017-06-06,41268,86679,223834,523,89
2017-06-07,64452,149853,223969,1536,258
2017-06-08,62652,132716,224131,1631,266
2017-06-09,66504,156787,224289,2513,313
2017-06-10,57086,150903,224455,4764,296
2017-06-11,51427,140711,224654,3941,179
2017-06-12,57870,133564,224889,1561,201
2017-06-13,60920,129444,225078,1407,179
2017-06-14,60510,137988,225231,1573,218
2017-06-15,64761,144513,225430,1885,227
2017-06-16,56401,128201,225556,1507,177
2017-06-17,34899,83755,225683,2243,209
2017-06-18,49469,138414,225864,3730,295
2017-06-19,38308,88057,226025,878,158
2017-06-20,64670,146794,226220,1781,215
2017-06-21,67215,154525,226394,1666,258
2017-06-22,66304,158453,226589,1818,260
2017-06-23,55321,129797,226695,1585,205
2017-06-24,52150,141282,226849,4277,314
2017-06-25,54645,158625,227015,4527,256
2017-06-26,62661,145321,227211,2024,297
2017-06-27,64762,151112,227418,1697,229
2017-06-28,67740,159263,227679,1893,208
2017-06-29,64260,146419,227855,1703,210
2017-06-30,58660,132583,228047,2024,293
2018-04-01,33148,94040,257811,2363,264
2018-04-02,22062,50418,257889,297,20
2018-04-03,25883,59477,257942,189,21
2018-04-04,36755,80049,258025,611,48
2018-04-05,39814,87382,258086,972,112
2018-04-06,35624,83643,258143,918,101
2018-04-07,33245,79955,258231,1661,129
2018-04-08,28410,67056,258324,1271,75
2018-04-09,40509,87612,258423,614,62
2018-04-10,43051,89629,258498,475,37
2018-04-11,48612,104081,258599,894,114
2018-04-12,53168,114400,258754,1095,146
2018-04-13,63503,150894,258926,3168,262
2018-04-14,62595,185232,259171,7643,346
2018-04-15,20440,58497,259252,525,21
2018-04-16,26288,65284,259344,452,31
2018-04-17,44689,104884,259470,589,85
2018-04-18,51110,112664,259583,996,152
2018-04-19,38298,79890,259704,407,52
2018-04-20,47049,101982,259820,1241,133
2018-04-21,63594,179681,260015,3142,214
2018-04-22,54282,149532,260257,5399,265
2018-04-23,57764,131224,260545,1976,191
2018-04-24,58523,126491,260740,1529,159
2018-04-25,31213,63086,260861,403,36
2018-04-26,66074,150788,261062,2578,294
2018-04-27,39153,85566,261172,823,70
2018-04-28,56735,158334,261434,6129,369
2018-04-29,44825,130649,261651,3594,266
2018-04-30,41074,91215,261874,751,66
2018-05-01,72035,173896,262154,3155,390
2018-05-02,76773,189852,262535,3270,329
2018-05-03,69053,165326,262816,2931,282
2018-05-04,71197,177291,263103,3595,360
2018-05-05,63325,167568,263371,6557,334
2018-05-06,48993,120205,263632,3484,289
2018-05-07,68915,156297,263992,2973,311
2018-05-08,74310,174749,264308,3046,356
2018-05-09,78454,183295,264589,3038,303
2018-05-10,67454,153260,264852,2408,275
2018-05-11,75262,184114,265052,4240,314
2018-05-12,34535,91563,265150,2227,92
2018-05-13,25985,67247,265260,1237,58
2018-05-14,64727,147144,265465,2553,273
2018-05-15,52826,118790,265682,1949,186
2018-05-16,32766,75694,265811,493,45
2018-05-17,49788,107763,265936,1755,113
2018-05-18,63112,146437,266075,2663,240
2018-05-19,18026,45461,266135,639,53
2018-05-20,56946,158983,266399,5458,304
2018-05-21,71218,172936,266669,3551,267
2018-05-22,48508,109420,266868,1090,103
2018-05-23,72653,170812,267098,2952,294
2018-05-24,74808,177631,267330,3417,294
2018-05-25,69342,174715,267536,4381,336
2018-05-26,51592,155957,267703,6129,417
2018-05-27,25813,78075,267815,1631,82
2018-05-28,49040,140226,268037,5148,267
2018-05-29,69090,170334,268305,2896,249
2018-05-30,72321,159297,268645,2742,216
2018-05-31,55798,123710,268998,1414,101
2018-06-01,62890,147780,269167,3049,250
2018-06-02,60287,158528,269371,5634,307
2018-06-03,50041,134416,269544,3892,154
2018-06-04,58910,130774,269763,2372,166
2018-06-05,71906,155007,269934,2682,199
2018-06-06,69797,154726,270119,2479,173
2018-06-07,70478,160532,270274,2808,198
2018-06-08,72696,163188,270455,3915,283
2018-06-09,65239,171623,270657,6917,292
2018-06-10,41639,106867,270825,3136,112
2018-06-11,68060,154381,271146,3044,243
2018-06-12,76255,166828,271364,3260,215
2018-06-13,64270,144934,271541,2044,104
2018-06-14,75803,173109,271708,3359,227
2018-06-15,72417,160081,271883,4005,296
2018-06-16,63182,165240,272071,7037,339
2018-06-17,56218,146611,272306,5760,232
2018-06-18,63551,136481,272522,2498,206
2018-06-19,72168,153883,272780,2902,230
2018-06-20,74088,165836,272950,2929,231
2018-06-21,70050,158375,273114,3026,262
2018-06-22,71084,156062,273291,3736,263
2018-06-23,51028,118620,273422,4172,207
2018-06-24,55775,152057,273615,5862,232
2018-06-25,71747,163026,273820,3441,221
2018-06-26,80643,171973,274006,3442,254
2018-06-27,67647,140557,274165,2457,183
2018-06-28,50431,104860,274290,1967,154
2018-06-29,69856,151785,274467,3940,326
2018-06-30,54713,134347,274628,5425,360
